Acatenango-Fuego,-90.876,14.501,0.13
Ampato,-71.881,-15.82,0.1
Atitln-Tolimn,-91.187,14.584,0.11
Sabancaya-Ampato,-71.881,-15.82,0.12
San_Pedro-San_Pablo,-68.392,-21.888,0.16
Acamarachi,-67.618,-23.294,0.04
Acatenango,-90.876,14.501,0.08
Adams,-121.492,46.202,0.11
Adatara,140.28,37.647,0.11
Adwa,40.821,10.068,0.08
Afder,40.853,13.088,0.09
Agrigan,145.674,18.768,0.07
Agua,-90.744,14.466,0.11
Agua_de_Pau,-25.493,37.76,0.12
Agung,115.498,-8.341,0.09
Akagi,139.193,36.561,0.14
Akita-Komaga-take,140.799,39.761,0.07
Akita-Yake-yama,140.757,39.963,0.07
Akuseki-jima,129.594,29.465,0.03
Akutan,-165.986,54.132,0.07
Alaid,155.564,50.861,0.12
Alamagan,145.836,17.601,0.04
Alayta,40.572,12.888,0.17
Alcedo,-91.108,-0.395,0.25
Ale_Bagu,40.628,13.509,0.07
Alid,39.925,14.889,0.05
Alney-Chashakondzha,159.645,56.692,0.23
Alutu,38.781,7.765,0.11
Amak,-163.149,55.418,0.03
Amasing,127.495,-0.526,0.06
Ambang,124.416,0.757,0.08
Ambitle,153.582,-4.098,0.09
Ambrym,168.119,-16.247,0.27
Amsterdam_Island,77.549,-37.85,0.07
Amukta,-171.257,52.497,0.03
Anatahan,145.656,16.355,0.06
Anaun,158.843,56.307,0.06
Aneityum,169.79,-20.185,0.13
Antisana,-78.142,-0.485,0.12
Antuco,-71.352,-37.411,0.07
Aoba,167.828,-15.405,0.21
Aoga-shima,139.761,32.46,0.02
Apaneca_Range_Los_Naranjos,-89.688,13.872,0.02
Apo,125.271,6.987,0.15
Apoyeque,-86.325,12.247,0.05
Aracar,-67.783,-24.291,0.11
Aragats,44.195,40.523,0.29
Ararat,44.298,39.702,0.18
Arayat,120.743,15.205,0.04
Arenal,-84.703,10.462,0.04
Arenales,-73.469,-47.196,0.09
Arjuno-Welirang,112.59,-7.766,0.16
Asacha,157.829,52.355,0.12
Asama,138.522,36.406,0.07
Asavyo,41.599,13.098,0.14
Ascensin,-14.343,-7.952,0.07
Asuncion,145.405,19.692,0.03
Atacazo,-78.62,-0.357,0.13
Atitln,-91.187,14.584,0.08
Atka,-174.141,52.329,0.14
"Atlixcos,_Los",-96.528,19.81,0.09
Atsonupuri,147.13,44.807,0.05
Aucanquilcha,-68.469,-21.221,0.08
Augustine,-153.43,59.361,0.06
Avachinsky,158.834,53.256,0.14
Awu,125.447,3.688,0.09
Ayelu,40.703,10.083,0.07
Azufral,-77.72,1.086,0.12
"Azufre,_Cerro_del",-68.241,-21.784,0.1
"Azul,_Cerro",-91.41,-0.929,0.19
"Azul,_Cerro",-70.763,-35.657,0.04
Azuma,140.23,37.711,0.13
Babuyan_Claro,121.952,19.524,0.07
Bachelor,-121.689,43.979,0.05
Bagana,155.196,-6.137,0.05
Bakening,158.07,53.904,0.07
Baker,-121.821,48.776,0.1
Balatukan,124.976,8.749,0.29
Balbi,154.995,-5.905,0.18
Baluan,147.289,-2.559,0.04
Baluran,114.362,-7.846,0.08
Balut,125.376,5.398,0.07
Bam,144.819,-3.613,0.03
Bamus,151.241,-5.197,0.09
Banahaw,121.492,14.068,0.09
Banahaw_San_Cristobal,121.426,14.064,0.04
Bandai,140.072,37.601,0.06
Bar,-82.543,8.809,0.16
Baransky,148.019,45.103,0.05
Barren_Island,93.863,12.273,0.03
"Barrier,_The",36.662,2.329,0.12
Barva,-84.102,10.131,0.29
"Bayo,_Cerro",-68.591,-25.414,0.11
Bazman,60.011,28.075,0.1
Belenkaya,157.266,51.75,0.02
Belknap,-121.842,44.285,0.07
Berutarube,146.931,44.466,0.09
Bezymianny,160.596,55.973,0.05
Bibinoi,127.725,-0.762,0.04
Biliran_North,124.461,11.649,0.14
Biliran_South,124.573,11.529,0.12
Billy_Mitchell,155.216,-6.1,0.05
"Blancas,_Lomas",-71.012,-36.29,0.04
Blup_Blup,144.606,-3.505,0.03
Bobrof,-177.442,51.906,0.03
Bogatyr_Ridge_Stokap,147.344,44.838,0.07
Bola,150.037,-5.143,0.04
Borale_Ale,40.597,13.725,0.06
Borawli,40.986,13.304,0.05
Boset-Bericha_Bericha,39.51,8.613,0.03
Boset-Bericha_Boset,39.476,8.56,0.07
Bouvet,3.349,-54.409,0.07
Brava,-24.704,14.851,0.08
"Bravo,_Cerro",-75.293,5.091,0.06
Brushy_Butte,-121.492,41.166,0.1
Buldir,175.91,52.348,0.04
Bulusan,124.056,12.769,0.08
"Burney,_Monte",-73.377,-52.328,0.09
Cabalan,125.218,10.285,0.06
Cagua,122.12,18.216,0.07
Caichinque,-67.74,-23.949,0.02
Calbuco,-72.618,-41.331,0.11
Callaqui,-71.447,-37.928,0.13
Cameroon,9.172,4.218,0.33
Camiguin_Hibok-Hibok,124.676,9.199,0.06
Camiguin_Mambajao,124.727,9.178,0.09
Camiguin_de_Babuyanes,121.863,18.832,0.03
Carlisle,-170.059,52.892,0.07
"Casiri,_Nevados",-69.815,-17.47,0.05
Cay,-72.985,-45.06,0.08
Cayambe,-77.99,0.025,0.14
